Rank,Nick,Name,Category,Followers,Country,Eng (Auth.),Eng (Avg.)
1,jlo,Jennifer Lopez,"Music, Cinema & Actors/actresses",253.7M,United States,158.6K,233.4K
2,vindiesel,Vin Diesel,Cinema & Actors/actresses,102.7M,United States,426.7K,534.3K
3,kanyewest,Ye,Lifestyle,19.6M,United States,728.8K,1.3M
4,cznburak,Burak Özdemir,Food & Cooking,54.7M,Turkey,333.8K,424.1K
5,emrata,Emily Ratajkowski,Modeling,30.1M,United States,528.2K,730.3K
6,hannahstocking,Hannah Stocking,Modeling,26.4M,United States,585.3K,762.7K
7,vladimirshmondenko,VLADIMIR1 & mr ANATOLY,Fitness & Gym,11.7M,Russia,1M,1.3M
8,hakkiakdenizz,hakki akdeniz,Business & Careers,32.6M,Turkey,261.9K,429.1K
9,gusein.gasanov,ГУСЕЙН ГАСАНОВ,Shows,28M,Russia,373.6K,519.5K
10,otabek_muhammadalievich,Otabek Umarov,,31.6M,Russia,278K,428K
11,tatawerneck,Tata Werneck,"Cinema & Actors/actresses, Family",57.2M,Brazil,127.4K,191.2K
12,kashikakapoor09,Kashika Kapoor,"Beauty, Lifestyle, Cinema & Actors/actresses",17.7M,India,179K,414K
13,leonardodicaprio,Leonardo DiCaprio,Cinema & Actors/actresses,62.2M,United States,98.5K,117.7K
14,djeiran_han,Джейран Касымова,Family,7M,India,564.1K,1M
15,araikgalstyanmoscowschool,ARAIK GALSTYAN,Beauty,22.2M,Russia,158.7K,292.2K
16,neslihanatagul,Neslihan Atagül Doğulu,"Cinema & Actors/actresses, Modeling",14.2M,Turkey,339.2K,409K
17,thenotoriousmma,Conor McGregor Official,Fitness & Gym,47.2M,United States,95.8K,118.5K
18,erkangndzlp,Erkan Gündüzalp,,8.2M,Russia,374.7K,646.3K
19,irinashayk,irina shayk,Modeling,23.4M,Russia,162K,201.6K
20,subo_m,Субо Мамедов,Shows,12.7M,Russia,307.6K,373.8K
21,evcenf,Fahriye Evcen Özçivit,"Lifestyle, Beauty",13.8M,Turkey,263.9K,332.5K
22,rosiehw,Rosie HW,Modeling,19.8M,United States,163.8K,219.2K
23,schwarzenegger,Arnold Schwarzenegger,"Cinema & Actors/actresses, Fitness & Gym",26.1M,United States,126.4K,157.7K
24,rahimabramov,Rakhim,Shows,6.1M,Russia,413.8K,660K
25,eilirjani,Elton ILIRJANI,Adult content,12.2M,Brazil,126.8K,296.2K
26,hasbulla.hushetskiy,Hasbulla Magomedov,Lifestyle,8.4M,Russia,341.8K,411.6K
27,adamweitsman,Adam Weitsman,Business & Careers,20.1M,United States,92.9K,160.8K
28,limitless,Jas Mathur,"Business & Careers, Management & Marketing",12M,United States,100.6K,207K
29,pinchuk_official,Ирина Пинчук,,5M,Russia,396.8K,498K
30,brianmaps,Брайн Мапс (Макс Тарасенко),,5.9M,Russia,315.2K,345.9K
31,abdu_rozik,Abduroziq Official,"Music, Shows",8.4M,Tajikistan,178.2K,223.2K
32,islam_makhachev,Islam_Makhachev,Fitness & Gym,8.2M,Russia,187.7K,227.4K
33,bmw,BMW,Cars & Motorbikes,38.3M,United States,38.3K,46.2K
34,kikakim,Kristina Kim,"Lifestyle, Music",8.4M,Kazakhstan,180.3K,207.3K
35,love__rose92,Liubava  Rose ❤️ 🌹,"Nature & landscapes, Lifestyle, Travel",5.9M,India,192.3K,285.9K
36,nazar_8888_,Nazar Babenko,,13.8M,Ukraine,61.6K,110.1K
37,ufc,UFC,"Extreme Sports & Outdoor activity, Shows",40M,United States,31.8K,37.6K
38,urgantcom,Иван Ургант,"Shows, Cinema & Actors/actresses",11.9M,Russia,110.1K,123.8K
39,giovannaantonelli,Giovanna Antonelli,"Lifestyle, Beauty, Cinema & Actors/actresses",19.8M,Brazil,44.2K,63.2K
40,luna_the_pantera,Luna,"Lifestyle, Animals",4.8M,Russia,203.5K,260.1K
41,kvara7,Khvicha Kvaratskhelia,,3.5M,Italy,300.4K,354.6K
42,adidas,adidas,"Clothing & Outfits, Fitness & Gym",28.7M,United States,34.3K,42.7K
43,wengallbi_tm,Ахмед Алиасхабов,Cars & Motorbikes,4.7M,Russia,217.3K,262.4K
44,carolinederpienski,CAROLINE MARIA DERPIENSKI,Modeling,8.5M,Russia,36.4K,145.2K
45,mercedesbenz,Mercedes-Benz,"Cars & Motorbikes, Luxury",38.2M,United States,24.9K,30.2K
46,tiabajpai,Tia Bajpai,Cinema & Actors/actresses,6.3M,India,107.2K,185.4K
47,andreybatt,ANDREY BATT,,10.9M,Russia,89K,104.1K
48,karna.val,🖤Valentina🖤,Lifestyle,7.4M,Russia,129.5K,149.4K
49,justking31,Nurtaza Nurbek,"Humor & Fun & Happiness, Family",6.7M,Kazakhstan,111.4K,159.3K
50,laneksa7,Svetlana Alekseeva,,3.2M,Russia,266.9K,340.8K
